Stn_Name,Lat,Long,Yr,Depth
STN03 ,63.71595208,-83.24629167,2019,97.59375
STN04,63.146,-82.00901042,2019,217.5
STN07,63.70970076,-88.4162598,2019,118.96875
STN10,64.97232135,-86.26847448,2019,39.46875
STN11,64.85320119,-86.54218899,2019,90.9
STN12,65.91459323,-85.76836979,2019,86.3625
STN13,66.30106646,-86.10381771,2019,192.9875
STN14,65.93566644,-84.71861644,2019,251.6666667
STN15,65.4990276,-84.76458108,2019,197.9166667
STN15,65.10478909,-83.14016548,2019,324.8571429
STN17,64.93005298,-83.0119869,2019,162.7857143
STN18,64.51488426,-81.25485093,2019,299.3333333
STNEB,64.05515104,-81.06956979,2019,71.1375
STN19,63.94376042,-79.68870324,2019,325.4444444
STN20,63.79415764,-80.09098403,2019,151.1666667
STNNS,63.44332083,-79.29735833,2019,218.5
STNNS2,63.45461875,-79.44476458,2019,203.25
STNLP,63.45480833,-80.77919167,2019,67
STNCN,62.96198333,-84.18036667,2019,127
STN25,63.55578452,-84.1708125,2019,27.67857143
STNWI,63.26595,-83.690475,2019,94.25
STNW12,63.317325,-83.54936667,2019,112
STNW13,63.37293333,-83.4022125,2019,110
STN26,63.82511029,-83.32454818,2019,50.3484375
